id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
3301,HD 4313 b,445,1.927 Jupiters,7.83,2009
3302,HD 43197 b,204,0.55388 Jupiters,8.98,2010
3303,HD 43197 c,204,7.80042 Jupiters,8.98,2022
3304,HD 43691 b,279,2.55 Jupiters,8.03,2007
3305,HD 44219 b,173,0.58 Jupiters,7.69,2010
3306,HD 45184 b,72,12.19 Earths,6.383,2019
3307,HD 45184 c,72,8.81 Earths,6.383,2019
3308,HD 45350 b,153,1.79 Jupiters,7.89,2004
3309,HD 45364 b,112,0.1872 Jupiters,8.08,2008
3310,HD 45364 c,112,0.6579 Jupiters,8.08,2008
3311,HD 45652 b,114,0.433 Jupiters,8.1,2008
3312,HD 457 b,180,23.8334 Jupiters,7.72,2022
3313,HD 46375 b,96,0.226 Jupiters,7.91,2000
3314,HD 47186 b,122,22.2481 Earths,7.63,2008
3315,HD 47186 c,122,0.35061 Jupiters,7.63,2008
3316,HD 4732 b,179,2.37 Jupiters,5.9,2012
3317,HD 4732 c,179,2.37 Jupiters,5.9,2012
3318,HD 47366 b,275,2.3 Jupiters,6.11151,2016
3319,HD 47366 c,275,1.88 Jupiters,6.11151,2016
3320,HD 47536 b,400,7.32 Jupiters,5.25,2002
3321,HD 4760 b,1755,13.9 Jupiters,7.51,2021
3322,HD 48265 b,295,1.525 Jupiters,8.05,2008
3323,HD 4917 b,666,1.615 Jupiters,8.03,2018
3324,HD 49674 b,140,31.783 Earths,8.1,2002
3325,HD 4308 b,72,15.8915 Earths,6.55,2005
3326,HD 4313 b,445,1.927 Jupiters,7.83,2009
3327,HD 43197 b,204,0.55388 Jupiters,8.98,2010
3328,HD 43197 c,204,7.80042 Jupiters,8.98,2022
3329,HD 43691 b,279,2.55 Jupiters,8.03,2007
3330,HD 44219 b,173,0.58 Jupiters,7.69,2010
3331,HD 45184 b,72,12.19 Earths,6.383,2019
3332,HD 45184 c,72,8.81 Earths,6.383,2019
3333,HD 45350 b,153,1.79 Jupiters,7.89,2004
3334,HD 45364 b,112,0.1872 Jupiters,8.08,2008
